Word,BestWordListResult,RandomWordListResult,AUDIOThenRandomWordsResult,AUDIOThenBestWordsResult
ochry,4,4.0,5.2,5
reeks,6,7.2,6.2,7
stang,5,5.4,5.4,6
dwelt,7,4.2,4.0,3
beset,5,4.0,5.8,4
lauds,5,6.6,5.2,3
gadis,4,5.0,4.6,4
coral,3,5.4,7.0,4
mafic,5,5.0,4.8,6
knoll,4,5.2,5.2,5
trill,3,5.4,5.2,5
burgs,6,5.0,4.2,5
envoy,4,4.8,6.0,6
rocky,4,5.4,4.8,4
odeon,5,4.8,5.8,6
aulic,4,3.8,3.2,3
scena,6,6.2,5.4,8
genip,5,4.6,5.0,3
grody,4,4.6,5.2,5
askoi,5,4.4,2.8,3
barks,7,6.8,4.8,6
yummy,6,5.6,6.0,6
herma,4,4.0,4.4,6
hayer,7,5.2,5.2,7
layin,3,4.4,5.4,4
rioja,4,4.6,4.0,4
white,5,3.6,4.2,4
mimic,4,5.2,4.8,5
psoai,3,5.8,3.4,3
reeve,6,5.2,4.8,5
fight,7,6.6,6.0,7
cowls,3,5.6,6.4,6
peons,3,5.4,5.8,4
hance,5,4.8,5.2,4
celli,6,5.0,5.2,6
dandy,4,5.0,6.2,4
nomas,4,5.6,5.8,6
skeed,5,4.6,4.6,5
duomi,4,4.6,2.0,2
cowry,4,4.8,5.8,3
lichi,4,4.6,4.6,4
curns,3,4.8,5.6,4
stash,6,5.2,7.0,7
reive,6,5.0,5.0,6
fleet,5,4.6,4.8,4
swarm,4,5.0,5.6,6
booms,6,6.0,6.8,6
buhrs,5,4.6,5.0,5
chink,4,5.2,4.8,4
swear,7,5.4,5.6,9
handy,6,5.0,5.0,6
plonk,4,4.2,4.2,4
tanks,5,6.0,7.0,5
panic,3,4.4,4.4,4
vouch,5,4.4,4.8,6
waved,8,6.2,7.0,9
vulgo,5,4.2,4.2,4
steam,5,5.0,6.0,8
swoon,5,5.2,5.2,5
chaff,5,4.8,5.4,5
curds,4,4.6,5.6,5
shoos,5,5.2,6.6,6
rewed,7,5.8,5.2,4
tecta,4,5.0,5.2,6
aphis,4,5.4,5.8,5
klong,4,4.2,5.6,5
pisos,5,4.8,4.6,5
mecca,4,4.6,5.6,5
jinns,8,6.4,6.2,5
mommy,6,6.2,7.2,7
worms,8,6.6,6.2,7
doses,9,7.0,6.2,9
nisus,5,4.4,3.4,4
upbow,4,4.2,5.6,4
opera,6,4.8,5.0,4
reads,3,4.4,4.6,4
pical,4,5.0,5.2,4
vexes,8,5.8,7.0,9
grate,6,6.0,6.0,5
voila,4,5.4,3.0,4
twiny,3,4.6,4.4,3
wyles,5,5.6,4.8,4
monde,4,5.0,3.8,4
terne,3,5.2,5.0,3
faros,4,5.8,5.4,7
roils,2,4.0,5.6,2
paver,7,6.6,6.4,8
gleds,7,4.6,4.4,3
ureal,6,4.6,4.4,3
saves,9,8.4,9.2,10
doors,4,5.2,4.8,4
rover,8,6.0,5.8,9
ileum,4,5.0,3.8,3
padis,3,5.8,5.2,3
films,5,4.4,6.8,5
macaw,4,4.6,5.4,4
golly,7,6.0,5.6,7
pyxie,3,4.6,4.6,3
labra,4,6.2,5.8,6
amino,4,4.6,3.0,3
topis,3,4.2,5.0,3
zaxes,9,8.6,9.2,9
abeam,5,4.8,4.2,4
kliks,5,4.8,4.0,6
boite,2,5.2,4.2,3
missy,6,5.6,5.2,7
sherd,4,4.8,4.0,4
cyans,4,5.6,5.2,4
dados,5,6.6,4.2,4
ethyl,5,4.8,4.6,6
belly,6,5.6,7.2,5
slops,6,6.8,5.6,7
towed,6,6.4,6.2,8
refly,5,4.8,4.6,5
tommy,5,5.2,5.8,4
boomy,5,4.8,5.6,5
fjord,5,4.0,4.4,5
stiff,6,6.6,5.8,8
jells,11,7.8,8.4,10
orlop,5,4.6,6.0,5
tains,3,6.2,5.4,3
cholo,4,4.4,4.0,4
heady,4,5.6,5.0,5
toque,4,4.8,5.4,6
kepis,4,5.8,4.2,3
cafes,8,6.0,6.2,8
cogon,4,4.2,5.2,5
